trade_date,ticker,net_buy_amount,consecutive_buy_days,buy_intensity_pct,open,close,future_return_20d
2026-02-02,000020,-16667570,0,-0.010062914939505962,6060,5930,0
2026-02-02,000050,62439985,1,0.02428104782029623,9540,9380,0
2026-02-02,000080,2282070,1,0.0001873281064305753,17600,17370,0
2026-02-02,000100,33535800,1,0.0004009206065120709,106400,104600,0
2026-02-02,000120,18470800,1,0.000817863071737553,104800,99000,0
2026-02-02,000150,-229615000,0,-0.001704226128694607,835000,832000,0
2026-02-02,0001A0,-1468825,0,-0.00015389051919965414,38000,38500,0
2026-02-02,000210,7829250,1,0.0009282143762120011,42300,40250,0
2026-02-02,000240,-643691100,0,-0.02622946934265915,27450,25850,0
2026-02-02,000250,1539974250,1,0.01414862616718342,462000,464000,0
2026-02-02,000270,-3583911450,0,-0.006115786420765873,151600,150100,0
2026-02-02,000500,-121254200,0,-0.009082511723793483,86100,80700,0
2026-02-02,000520,17394540,1,0.00752952411785752,10070,10650,0
2026-02-02,000660,62397130500,1,0.01032651393414781,870000,830000,0
2026-02-02,000670,-196531100,0,-0.018679236440276595,59700,58200,0
2026-02-02,000720,-6470839100,0,-0.0588153858711257,99600,98800,0
2026-02-02,000810,-2730252500,0,-0.012323764387944088,502000,481500,0
2026-02-02,000815,-935897500,0,-0.08283954649073055,375000,364500,0
2026-02-02,000880,-2162652250,0,-0.026615532549895793,113600,108400,0
2026-02-02,000990,2022249400,1,0.04512969832144681,105100,103000,0
2026-02-02,001040,-943101500,0,-0.01531917490432099,216000,211000,0
2026-02-02,001045,46684700,1,0.02092695930070158,98000,98700,0
2026-02-02,001120,961991800,1,0.06565923250391774,37000,37800,0
2026-02-02,001430,1135502900,1,0.04465869881328207,70000,70900,0
2026-02-02,001440,-961702375,0,-0.01935474155869318,28700,26650,0
2026-02-02,001450,411694250,1,0.01671535788093237,27800,27550,0
2026-02-02,001510,48635000,1,0.011828916951930156,948,870,1
2026-02-02,001530,-58308235,0,-0.01524196113747831,19950,19390,0
2026-02-02,001680,-7659025,0,-0.0010378041417877428,21650,21300,0
2026-02-02,001720,790350300,1,0.027853323155517588,183500,172600,0
2026-02-02,001740,15774420,1,0.0014116400673179173,5540,5050,0
2026-02-02,001800,-35986700,0,-0.0027751236518213794,20950,20700,0
2026-02-02,001940,-81309725,0,-0.02515604130794977,24000,22800,0
2026-02-02,002020,-29520600,0,-0.003671038535988549,58100,62300,0
2026-02-02,002030,18000,0,3.068745954817442e-06,288500,283000,0
2026-02-02,002320,51328050,1,0.016981277297191393,20050,19840,0
2026-02-02,002380,3606891000,1,0.08562988258831097,481000,474000,0
2026-02-02,002790,-989750,0,-4.355327967069389e-05,29000,28600,0
2026-02-02,002840,17700,0,2.7541136655385693e-06,141400,135300,0
2026-02-02,002960,43978000,1,0.007839914430876192,433500,431500,0
2026-02-02,003030,-172155400,0,-0.03185194880775859,135900,130500,0
2026-02-02,003090,312930750,1,0.02319906270228796,24000,23200,0
2026-02-02,003160,-1321614575,0,-0.14825448146278536,33400,31500,0
2026-02-02,003230,-985447500,0,-0.011892467539708386,1170000,1100000,0
2026-02-02,003240,728913500,1,0.07464920439493275,920000,877000,0
2026-02-02,003300,-14757740,0,-0.0031222203559063484,15760,15330,0
2026-02-02,003380,-30958500,0,-0.0019870690631261646,15000,13910,0
2026-02-02,003460,16776000,1,0.010308725240798627,2915,2870,0
2026-02-02,003470,120726060,1,0.014299062783678242,4570,4230,0
2026-02-02,003490,-5174803450,0,-0.06246017369580585,22950,22500,0
2026-02-02,003540,-77652125,0,-0.005193161147713517,30900,29450,0
2026-02-02,003550,-1142746850,0,-0.008429775243223187,91000,87900,0
2026-02-02,003555,77190800,1,0.037422734023913065,69100,68500,0
2026-02-02,003570,433690200,1,0.02642807779537054,49800,49350,0
2026-02-02,003670,3990879750,1,0.020629176162621755,218500,217500,0
2026-02-02,003690,122231560,1,0.00546995935559802,11800,11470,0
2026-02-02,003850,-57568140,0,-0.007481130424037893,9240,8970,0
2026-02-02,003920,-105395475,0,-0.03721591631355932,47700,47200,0
2026-02-02,004000,417870625,1,0.03471926227805612,46500,46650,0
2026-02-02,004020,-5160060775,0,-0.13085564750036027,30650,29550,0
2026-02-02,004090,15538065,1,0.00850025280733652,14850,14400,0
2026-02-02,004170,167655000,1,0.005544579090793789,321500,313500,0
2026-02-02,004370,-444799000,0,-0.018100483700378492,409500,404000,0
2026-02-02,004490,-145532050,0,-0.016908450736953153,63200,62100,0
2026-02-02,004690,1136172000,1,0.20230227784633303,141500,138500,0
2026-02-02,004800,-57209900,0,-0.0024890558348026107,150500,137300,0
2026-02-02,004990,8001500,1,0.0002538126156953879,31300,30050,0
2026-02-02,005070,71964850,1,0.004427140974513174,50300,50000,0
2026-02-02,005090,-138032150,0,-0.044973508691262674,21500,21300,1
2026-02-02,005180,28983200,1,0.004071246684945506,74800,74500,0
2026-02-02,005250,-446230,0,-6.389602804180352e-05,15710,14850,0
2026-02-02,005290,3133372300,1,0.119496795104158,54300,51000,0
2026-02-02,005300,440619700,1,0.03527955553895635,134400,134600,0
2026-02-02,005305,-278622950,0,-0.4537496666370923,80800,79200,0
2026-02-02,005380,-20527918500,0,-0.020973776492789347,486000,478000,0
2026-02-02,005385,-2733909000,0,-0.04611387560684102,260500,254000,0
2026-02-02,005387,657276250,1,0.0073004640102345255,267000,257500,0
2026-02-02,005420,-16697720,0,-0.0027273733094289386,16200,15940,0
2026-02-02,005440,31969735,1,0.002204946170137086,9190,9300,0
2026-02-02,005490,-1991946250,0,-0.007207116228762772,344000,341500,0
2026-02-02,005710,-25662240,0,-0.01006842984246221,12970,12720,0
2026-02-02,005810,16351050,1,0.002911752721450381,40850,38950,0
2026-02-02,005830,298160700,1,0.003049861185407148,144900,140900,0
2026-02-02,005850,-1241667750,0,-0.05053332194702594,54100,52900,0
